statusCode,statusMessage,facilityId,addressName,croppingSerlNo,itemCode,itemName,croppingDate,croppingEndDate,acqAutoYn,acqManlYn,acqCultiYn,acqMgmtYn
,,PF_0020738_01,경기도 평택시,4549,080300,토마토,2021-05-01,2021-08-17,Y,Y,Y,N
,,PF_0020745_01,전북특별자치도 김제시,4557,080300,토마토,2021-05-17,2021-09-17,Y,Y,Y,N
,,PF_0010014_01,전북특별자치도 임실군,4577,080300,토마토,2021-05-22,2021-07-30,Y,Y,Y,N
,,PF_0022121_01,전라남도 화순군,4965,080300,토마토,2021-07-16,2022-06-30,Y,Y,Y,N
,,PF_0020760_01,전북특별자치도 진안군,4827,080300,토마토,2021-07-29,2022-07-10,Y,Y,Y,N
,,PF_0010071_01,충청남도 부여군,4749,080300,토마토,2021-08-01,2022-01-10,Y,Y,Y,N
,,PF_0010056_01,충청남도 부여군,4755,080300,토마토,2021-08-06,2022-01-15,Y,Y,Y,N
,,PF_0022376_01,광주광역시 광산구,5033,080300,토마토,2021-08-10,2022-06-30,Y,Y,Y,N
,,PF_0022100_01,전라남도 장흥군,4922,080300,토마토,2021-08-13,2022-07-30,Y,Y,Y,N
,,PF_0002531_01,전라남도 화순군,4796,080300,토마토,2021-08-15,2022-07-20,Y,Y,Y,N
,,PF_0020974_01,경기도 여주시,4828,080300,토마토,2021-08-15,2022-01-30,Y,Y,Y,N
,,PF_0002532_01,전북특별자치도 완주군,4800,080300,토마토,2021-08-20,2022-06-30,Y,Y,Y,N
,,PF_0020738_01,경기도 평택시,5041,080300,토마토,2021-08-21,2022-04-30,Y,Y,Y,N
,,PF_0010075_01,전북특별자치도 김제시,4751,080300,토마토,2021-08-26,2022-07-10,Y,Y,Y,N
,,PF_0010022_01,전북특별자치도 정읍시,4730,080300,토마토,2021-08-29,2022-06-20,Y,Y,Y,N
,,PF_0020724_01,경상북도 경주시,4857,080300,토마토,2021-08-30,2022-07-20,Y,Y,Y,N
,,PF_0010014_01,전북특별자치도 임실군,4951,080300,토마토,2021-08-30,2022-06-20,Y,Y,Y,N
,,PF_0020356_01,전라남도 화순군,4685,080300,토마토,2021-09-01,2022-07-30,Y,Y,Y,N
,,PF_0022092_01,전라남도 보성군,4923,080300,토마토,2021-09-01,2022-07-20,Y,Y,Y,N
,,PF_0022127_01,경상북도 경주시,4978,080300,토마토,2021-09-01,2022-07-30,Y,Y,Y,N
,,PF_0020745_01,전북특별자치도 김제시,4862,080300,토마토,2021-09-02,2022-06-10,Y,Y,Y,N
,,PF_0022085_01,전라남도 보성군,4948,080300,토마토,2021-09-02,2022-06-30,Y,Y,Y,N
,,PF_0022101_01,전북특별자치도 부안군,4904,080300,토마토,2021-09-10,2022-05-30,Y,Y,Y,N
,,PF_0022097_01,전라남도 영암군,4915,080300,토마토,2021-09-10,2022-06-30,Y,Y,Y,N
,,PFS_0000001_01,경상남도 사천시,4940,080300,토마토,2021-09-13,2022-07-30,Y,Y,Y,N
,,PF_0022101_01,전북특별자치도 부안군,4908,080300,토마토,2021-09-15,2022-06-10,Y,Y,Y,N
,,PF_0022080_01,광주광역시 광산구,4925,080300,토마토,2021-09-15,2022-04-14,Y,Y,Y,N
,,PF_0010076_01,전북특별자치도 김제시,4757,080300,토마토,2021-09-16,2022-06-30,Y,Y,Y,N
,,PF_0022077_01,광주광역시 광산구,4941,080300,토마토,2021-09-17,2022-05-30,Y,Y,Y,N
,,PF_0020748_01,전북특별자치도 김제시,4860,080300,토마토,2021-09-23,2022-02-28,Y,Y,Y,N
,,PFS_0000008_01,전북특별자치도 완주군,4809,080300,토마토,2021-09-28,2022-03-20,Y,Y,Y,N
,,PF_0020074_01,충청남도 부여군,4839,080300,토마토,2021-09-29,2022-05-10,Y,Y,Y,N
,,PF_0022102_01,전라남도 화순군,4905,080300,토마토,2021-09-30,2022-03-31,Y,Y,Y,N
,,PF_0022102_01,전라남도 화순군,4919,080300,토마토,2021-09-30,2022-03-31,Y,Y,Y,N
,,PF_0001405_01,경상남도 사천시,4760,080300,토마토,2021-10-01,2022-07-20,Y,Y,Y,N
,,PF_0022082_01,전라남도 나주시,4937,080300,토마토,2021-10-05,2022-04-30,Y,Y,Y,N
,,PF_0022081_01,전라남도 나주시,4920,080300,토마토,2021-10-08,2022-05-15,Y,Y,Y,N
,,PF_0022117_01,전라남도 화순군,4955,080300,토마토,2021-10-12,2022-05-10,Y,Y,Y,N
,,PF_0006043_01,부산광역시 강서구,4792,080300,토마토,2021-10-13,2022-05-15,Y,Y,Y,N
,,PF_0020763_01,충청남도 부여군,4927,080300,토마토,2021-10-19,2022-06-30,Y,Y,Y,N
,,PF_0010057_01,충청남도 부여군,4737,080300,토마토,2021-10-24,2022-05-30,Y,Y,Y,N
,,PF_0022109_01,충청북도 보은군,4911,080300,토마토,2021-10-30,2022-05-31,Y,Y,Y,N
,,PF_0000806_01,경상북도 경주시,4820,080300,토마토,2021-11-15,2022-06-30,Y,Y,Y,N
,,PF_0020761_01,전라남도 함평군,4817,080300,토마토,2021-11-17,2022-05-30,Y,Y,Y,N
,,PF_0020968_01,전북특별자치도 임실군,4980,080300,토마토,2021-11-30,2022-06-20,Y,Y,Y,N
,,PF_0022084_01,전라남도 화순군,4952,080300,토마토,2021-12-03,2022-07-08,Y,Y,Y,N
,,PF_0022102_01,전라남도 화순군,5035,080300,토마토,2021-12-05,2022-05-30,Y,Y,Y,N
,,PF_0020758_01,경상남도 사천시,4934,080300,토마토,2021-12-08,2022-05-04,Y,Y,Y,N
,,PF_0010056_01,충청남도 부여군,5031,080300,토마토,2021-12-18,2022-06-30,Y,Y,Y,N
00,NORMAL_CODE,PF_0002528_01,전라남도 영암군,5079,080300,토마토,2022-01-20,2022-07-30,Y,Y,Y,N
,,PF_0020974_01,경기도 여주시,5197,080300,토마토,2022-02-27,2022-08-10,Y,Y,Y,N
,,PFS_0000008_01,전북특별자치도 완주군,5377,080300,토마토,2022-03-13,2022-06-30,Y,Y,Y,N
,,PF_0020738_01,경기도 평택시,5480,080300,토마토,2022-03-18,2022-08-31,Y,Y,Y,N
,,PF_0020356_01,전라남도 화순군,5417,080300,토마토,2022-03-20,2022-07-30,Y,Y,Y,N
,,PF_0002528_01,전라남도 영암군,5966,080300,토마토,2022-08-01,2023-06-20,Y,Y,Y,N
,,PF_0020763_01,충청남도 부여군,5987,080300,토마토,2022-08-01,2023-06-30,Y,Y,Y,N
,,PF_0002532_01,전북특별자치도 완주군,5971,080300,토마토,2022-08-15,2023-06-20,Y,Y,Y,N
,,PF_0022081_01,전라남도 나주시,5960,080300,토마토,2022-08-20,2023-02-15,Y,Y,Y,N
,,PF_0020974_01,경기도 여주시,5994,080300,토마토,2022-08-25,2023-02-05,Y,Y,Y,N
,,PF_0020738_01,경기도 평택시,5995,080300,토마토,2022-08-27,2023-04-15,Y,Y,Y,N
,,PF_0022085_01,전라남도 보성군,5962,080300,토마토,2022-09-07,2023-06-30,Y,Y,Y,N
,,PF_0022097_01,전라남도 영암군,5967,080300,토마토,2022-09-08,2023-06-30,Y,Y,Y,N
,,PF_0022102_01,전라남도 화순군,5979,080300,토마토,2022-09-08,2023-05-30,Y,Y,Y,N
,,PF_0022083_01,전라남도 담양군,5961,080300,토마토,2022-09-10,2023-04-10,Y,Y,Y,N
,,PFS_0000001_01,경상남도 사천시,5957,080300,토마토,2022-09-21,2023-07-25,Y,Y,Y,N
,,PF_0022080_01,광주광역시 광산구,5959,080300,토마토,2022-09-21,2023-04-14,Y,Y,Y,N
,,PF_0022376_01,광주광역시 광산구,6032,080300,토마토,2022-09-21,2023-05-20,Y,Y,Y,N
,,PF_0022077_01,광주광역시 광산구,5958,080300,토마토,2022-09-22,2023-05-15,Y,Y,Y,N
,,PF_0020356_01,전라남도 화순군,5996,080300,토마토,2022-09-26,2023-07-31,Y,Y,Y,N
,,PF_0022109_01,충청북도 보은군,5973,080300,토마토,2022-10-01,2023-06-30,Y,Y,Y,N
,,PF_0020074_01,충청남도 부여군,5988,080300,토마토,2022-10-20,2023-06-10,Y,Y,Y,N
,,PFS_0000008_01,전북특별자치도 완주군,5970,080300,토마토,2022-11-01,2023-06-30,Y,Y,Y,N
